file_name,text,attri_value,bin
output_images_00017/180959.png,A person wearing an ornate headdress with intricate gold and turquoise jewelry.,0.3437071931128408,bin_3
output_images_00019/023799.png,"A muscular warrior with a red cape and tattoos, standing in front of flames.",0.3907482035019818,bin_3
output_images_00024/070773.png,"A man in a black suit and coat walking down a cobblestone street surrounded by other men in suits and hats, with buildings and street lamps on either side.",0.3289363748887006,bin_3
output_images_00010/106458.png,A person dressed in a gold dress with a red cape and crown standing in a boxing ring.,0.3311106999715169,bin_3
output_images_00022/049367.png,"A lion dressed in a blue jacket with a red and yellow scarf, standing in front of a red curtain.",0.3349413030287799,bin_3
output_images_00019/022602.png,"A person with long, wavy black hair wearing a black leather jacket and a multi-strand necklace.",0.3342758103912951,bin_3
output_images_00019/025340.png,"A glowing treble clef symbol with a fiery effect, standing on a pedestal against a dark background with sparkling stars.",0.3162538378846412,bin_3
output_images_00010/106599.png,"A futuristic tower emitting red light in a desolate, rocky landscape with a large, ominous structure above it.",0.3726289075963637,bin_3
output_images_00001/006790.png,A skeletal warrior in ornate armor standing in a misty forest.,0.3939166349523207,bin_3
output_images_00009/086848.png,"A person wearing a red leather jacket, white crop top, and denim shorts sitting on a table in a room decorated with various items and pictures.",0.3705528296676336,bin_3
output_images_00017/181240.png,"A Xenomorph creature from the Alien franchise, standing in a forested environment.",0.3294235977472043,bin_3
output_images_00029/117849.png,"A dwarf blacksmith working in a forge with a hammer and anvil, surrounded by fire and tools.",0.3553610035017425,bin_3
output_images_00018/186206.png,A brown and black hawk perched on a branch in a forested area.,0.36550287732891,bin_3
output_images_00014/137192.png,"A woman with long, wavy brown hair wearing a light-colored lace top.",0.3951951157812978,bin_3
output_images_00008/068161.png,A Roman soldier wearing a red cloak and golden armor standing between two columns.,0.3206606173047832,bin_3
output_images_00009/088560.png,"A serene forest path lined with lush green bushes, white flowers, and tall trees, bathed in warm sunlight.",0.3708034328385895,bin_3
output_images_00004/036483.png,A corgi dog standing on a sandy surface with a dark sky and celestial bodies in the background.,0.332171298008339,bin_3
output_images_00023/056407.png,A group of uniformed individuals standing in a courtyard.,0.3343018400902842,bin_3
output_images_00020/029288.png,"A steaming cup of coffee with latte art, surrounded by coffee beans and a cigarette on a wooden table.",0.3027165282006357,bin_3
output_images_00026/080014.png,"A person wearing a detailed, ornate suit of armor with intricate designs and a black shirt underneath.",0.3854646084355373,bin_3
output_images_00008/067043.png,A statue of an ancient Egyptian pharaoh adorned with gold jewelry and a headdress.,0.3583048577402152,bin_3
output_images_00001/006116.png,A person standing in front of a large moon with an open door emitting light.,0.3717685923856847,bin_3
output_images_00001/005795.png,Four men laughing together while typing on a keyboard.,0.3585868685853247,bin_3
output_images_00011/112556.png,A chimpanzee dressed in a suit smoking a cigar.,0.3292117511524873,bin_3
output_images_00005/042213.png,"A dimly lit room with a neon sign reading 'OUT NORD POISE', a desk with a computer, and various framed pictures on the walls.",0.3727110993628408,bin_3
output_images_00011/110830.png,"A person with branches and leaves growing from their head and neck, set against a teal background.",0.3211311415130017,bin_3
output_images_00016/161653.png,An old-fashioned television set displaying an alien creature in a dimly lit room with a wooden cabinet and a rug.,0.3526845483218922,bin_3
output_images_00029/104612.png,"A futuristic soldier wearing an orange and black helmet with glowing yellow eyes and a breathing apparatus, standing in an urban environment.",0.3982428569419711,bin_3
output_images_00013/134160.png,"A piece of toast with glowing rainbow light emanating from it, placed on a wooden surface.",0.3156251121969784,bin_3
output_images_00014/152866.png,"A figure in a long black cloak standing on a rocky outcrop, gazing at a swirling galaxy in the night sky.",0.379867520051844,bin_3
output_images_00004/037773.png,A skeleton of a mythical creature resembling a unicorn stands in a room with sunlight streaming through a window.,0.3434915580001532,bin_3
output_images_00000/004805.png,A person with long brown hair wearing a black long-sleeved shirt stands against a plain background.,0.3339602227304496,bin_3
output_images_00003/015306.png,A woman in a red bikini standing in a lush jungle with large trees and rocks around her.,0.3635531406776577,bin_3
output_images_00010/105306.png,"A serene night scene with a full moon illuminating a coastal village, featuring palm trees, houses, and a person standing near the water.",0.3468841216143439,bin_3
output_images_00016/160883.png,"A man wearing a brown top hat, purple coat, and large bow tie smiles at the camera on a busy street.",0.3706617168351716,bin_3
output_images_00004/020217.png,"A cartoon character wearing a red hat with an 'M' logo, blue overalls with yellow buttons, and a red shirt.",0.3544700697356579,bin_3
output_images_00000/002979.png,"A cozy bedroom with green walls, a wooden bed, two bedside tables, lamps, framed pictures, and a red rug.",0.3644334493898878,bin_3
output_images_00000/000794.png,A white robotic dog with black accents standing on a gray surface.,0.3552162843592026,bin_3
output_images_00023/056793.png,"A plate with grilled salmon, spaghetti, and cherry tomatoes garnished with parsley.",0.3866235471239277,bin_3
output_images_00015/159175.png,A green frog with orange eyes sitting on the ground surrounded by small rocks and flowers.,0.3846247317744236,bin_3
output_images_00019/023879.png,"A man with wet hair and a beard, covered in water droplets, in a dark, underwater-like environment.",0.3655560699163698,bin_3
output_images_00001/007061.png,A red sports car parked on a wet surface with a scenic sunset background.,0.3600111867867264,bin_3
output_images_00001/008219.png,"Two women sitting at a table in a dimly lit room with green lighting, drinking from wine glasses.",0.3579852160285501,bin_3
output_images_00011/108835.png,"A silhouette of a person in dark clothing standing at an open door, facing another figure in white robes outside in a misty field.",0.3227577508664598,bin_3
output_images_00008/067162.png,"A person walking towards a large, ornate house in a misty forest at dusk.",0.3265396080765069,bin_3
